Date,Close,Volume,Daily_Trading_Volume
2023-08-29 00:00:00+01:00,106.26000213623047,264725,28129679.06551361
2023-08-30 00:00:00+01:00,106.26000213623047,84543,8983539.360603333
2023-08-31 00:00:00+01:00,106.31999969482422,1100464,117001332.14416504
2023-09-01 00:00:00+01:00,106.31999969482422,852787,90668313.57975006
2023-09-04 00:00:00+01:00,106.33999633789062,159294,16939323.37664795
2023-09-05 00:00:00+01:00,106.3499984741211,127626,13573024.905258179
2023-09-06 00:00:00+01:00,106.36000061035156,346907,36897028.73173523
2023-09-07 00:00:00+01:00,106.41000366210938,75721,8057471.887298584
2023-09-08 00:00:00+01:00,106.41999816894531,137299,14611359.328598022
2023-09-11 00:00:00+01:00,106.44000244140625,82239,8753519.360778809
2023-09-12 00:00:00+01:00,106.47000122070312,192100,20452887.23449707
2023-09-13 00:00:00+01:00,106.5,140368,14949192.0
2023-09-14 00:00:00+01:00,106.5199966430664,321461,34242024.64087677
2023-09-15 00:00:00+01:00,106.54000091552734,99228,10571751.210845947
2023-09-18 00:00:00+01:00,106.55999755859375,77575,8266391.81060791
2023-09-19 00:00:00+01:00,106.55999755859375,61880,6593932.648925781
2023-09-20 00:00:00+01:00,106.58999633789062,74048,7892776.048828125
2023-09-21 00:00:00+01:00,106.62000274658203,286146,30508887.305923462
2023-09-22 00:00:00+01:00,106.66000366210938,187338,19981471.766052246
2023-09-25 00:00:00+01:00,106.68000030517578,83246,8880683.305404663
2023-09-26 00:00:00+01:00,106.68000030517578,129525,13817727.039527893
2023-09-27 00:00:00+01:00,106.69999694824219,178164,19010098.25628662
2023-09-28 00:00:00+01:00,106.73999786376953,472539,50438811.85054779
2023-09-29 00:00:00+01:00,106.73999786376953,231007,24657686.686515808
2023-10-02 00:00:00+01:00,106.77999877929688,221958,23700674.969055176
2023-10-03 00:00:00+01:00,106.77999877929688,147043,15701251.36050415
2023-10-04 00:00:00+01:00,106.77999877929688,137614,14694422.75201416
2023-10-05 00:00:00+01:00,106.83999633789062,155038,16564259.352233887
2023-10-06 00:00:00+01:00,106.86000061035156,172136,18394453.065063477
2023-10-09 00:00:00+01:00,106.9000015258789,97724,10446695.74911499
2023-10-10 00:00:00+01:00,106.87999725341797,163985,17526716.349601746
2023-10-11 00:00:00+01:00,106.91000366210938,173920,18593787.836914062
2023-10-12 00:00:00+01:00,106.94999694824219,300089,32094517.63420105
2023-10-13 00:00:00+01:00,106.97000122070312,71346,7631881.707092285
2023-10-16 00:00:00+01:00,107.0,119559,12792813.0
2023-10-17 00:00:00+01:00,107.0,167464,17918648.0
2023-10-18 00:00:00+01:00,107.01000213623047,100657,10771305.78502655
2023-10-19 00:00:00+01:00,107.05999755859375,283999,30404932.246643066
2023-10-20 00:00:00+01:00,107.0999984741211,165825,17759857.24697113
2023-10-23 00:00:00+01:00,107.12000274658203,254299,27240509.578453064
2023-10-24 00:00:00+01:00,107.0999984741211,221672,23741070.86175537
2023-10-25 00:00:00+01:00,107.12000274658203,65740,7042068.980560303
2023-10-26 00:00:00+01:00,107.16000366210938,99064,10615698.602783203
2023-10-27 00:00:00+01:00,107.19000244140625,131681,14114886.711486816
2023-10-30 00:00:00+00:00,107.19999694824219,146912,15748965.951660156
2023-10-31 00:00:00+00:00,107.23999786376953,204424,21922429.323303223
2023-11-01 00:00:00+00:00,107.22000122070312,134496,14420661.284179688
2023-11-02 00:00:00+00:00,107.29000091552734,279176,29952793.29559326
2023-11-03 00:00:00+00:00,107.33999633789062,160619,17240842.871795654
2023-11-06 00:00:00+00:00,107.33999633789062,740160,79448771.68945312
2023-11-07 00:00:00+00:00,107.36000061035156,68672,7372625.9619140625
2023-11-08 00:00:00+00:00,107.37999725341797,156140,16766312.771148682
2023-11-09 00:00:00+00:00,107.41999816894531,135043,14506318.812728882
2023-11-10 00:00:00+00:00,107.41999816894531,116578,12522808.546539307
2023-11-13 00:00:00+00:00,107.45999908447266,53758,5776834.630783081
2023-11-14 00:00:00+00:00,107.4800033569336,224480,24127111.153564453
2023-11-15 00:00:00+00:00,107.5,123219,13246042.5
2023-11-16 00:00:00+00:00,107.54000091552734,874581,94052441.54070282
2023-11-17 00:00:00+00:00,107.58000183105469,1701819,183081691.13612366
2023-11-20 00:00:00+00:00,107.58000183105469,210981,22697336.36631775
2023-11-21 00:00:00+00:00,107.5999984741211,181466,19525741.32310486
2023-11-22 00:00:00+00:00,107.63999938964844,303962,32718469.49447632
2023-11-23 00:00:00+00:00,107.66000366210938,107151,11535877.052398682
2023-11-24 00:00:00+00:00,107.66000366210938,108035,11631048.495635986
2023-11-27 00:00:00+00:00,107.69999694824219,156270,16830278.523101807
2023-11-28 00:00:00+00:00,107.70999908447266,318235,34277091.558647156
2023-11-29 00:00:00+00:00,107.72000122070312,298121,32113594.483917236
2023-11-30 00:00:00+00:00,107.77999877929688,448647,48355173.112335205
2023-12-01 00:00:00+00:00,107.81999969482422,236085,25454684.627952576
2023-12-04 00:00:00+00:00,107.81999969482422,214474,23124586.61454773
2023-12-05 00:00:00+00:00,107.83999633789062,459794,49584183.27618408
2023-12-06 00:00:00+00:00,107.83999633789062,1038563,111998630.1166687
2023-12-07 00:00:00+00:00,107.9000015258789,108459,11702726.2654953
2023-12-08 00:00:00+00:00,107.91999816894531,338668,36549049.93988037
2023-12-11 00:00:00+00:00,107.94000244140625,81285,8773903.098449707
2023-12-12 00:00:00+00:00,107.94000244140625,155523,16787152.999694824
2023-12-13 00:00:00+00:00,107.94000244140625,137395,14830416.635437012
2023-12-14 00:00:00+00:00,108.05999755859375,338171,36542757.43438721
2023-12-15 00:00:00+00:00,108.05999755859375,384283,41525620.04180908
2023-12-18 00:00:00+00:00,108.08000183105469,269705,29149716.893844604
2023-12-19 00:00:00+00:00,108.08000183105469,528077,57074563.126937866
2023-12-20 00:00:00+00:00,108.12000274658203,167629,18124047.9404068
2023-12-21 00:00:00+00:00,108.16000366210938,317632,34355078.283203125
2023-12-22 00:00:00+00:00,108.20999908447266,129591,14023041.991355896
2023-12-27 00:00:00+00:00,108.19999694824219,499939,54093398.27430725
2023-12-28 00:00:00+00:00,108.30000305175781,367289,39777399.820877075
2023-12-29 00:00:00+00:00,108.26000213623047,44053,4769177.874107361
2024-01-02 00:00:00+00:00,108.30000305175781,154192,16698994.07055664
2024-01-03 00:00:00+00:00,108.33999633789062,105602,11440920.293273926
2024-01-04 00:00:00+00:00,108.36000061035156,200586,21735499.08242798
2024-01-05 00:00:00+00:00,108.37999725341797,109216,11836829.780029297
2024-01-08 00:00:00+00:00,108.37999725341797,106033,11491856.248771667
2024-01-09 00:00:00+00:00,108.4000015258789,111082,12041288.96949768
2024-01-10 00:00:00+00:00,108.4000015258789,161491,17505624.64641571
2024-01-11 00:00:00+00:00,108.48999786376953,679911,73763542.9375534
2024-01-12 00:00:00+00:00,108.5199966430664,161922,17571774.8964386
2024-01-15 00:00:00+00:00,108.54000091552734,50646,5497116.886367798
2024-01-16 00:00:00+00:00,108.54000091552734,337291,36609565.44879913
2024-01-17 00:00:00+00:00,108.52999877929688,107596,11677393.748657227
2024-01-18 00:00:00+00:00,108.58000183105469,88381,9596409.141830444
2024-01-19 00:00:00+00:00,108.5999984741211,160625,17443874.7549057
2024-01-22 00:00:00+00:00,108.58000183105469,332922,36148671.36959839
2024-01-23 00:00:00+00:00,108.61000061035156,170845,18555475.554275513
2024-01-24 00:00:00+00:00,108.62000274658203,134353,14593423.229011536
2024-01-25 00:00:00+00:00,108.68000030517578,174493,18963899.293251038
2024-01-26 00:00:00+00:00,108.69999694824219,136268,14812331.184143066
2024-01-29 00:00:00+00:00,108.70999908447266,84468,9182516.202667236
2024-01-30 00:00:00+00:00,108.72000122070312,191443,20813683.19369507
2024-01-31 00:00:00+00:00,108.76000213623047,94040,10227790.600891113
2024-02-01 00:00:00+00:00,108.80000305175781,192804,20977075.788391113
2024-02-02 00:00:00+00:00,108.80000305175781,200791,21846061.412765503
2024-02-05 00:00:00+00:00,108.77999877929688,108510,11803717.667541504
2024-02-06 00:00:00+00:00,108.80000305175781,293104,31889716.094482422
2024-02-07 00:00:00+00:00,108.83000183105469,185716,20211472.620056152
2024-02-08 00:00:00+00:00,108.87999725341797,265608,28919398.31048584
2024-02-09 00:00:00+00:00,108.87999725341797,164896,17953876.02709961
2024-02-12 00:00:00+00:00,108.9000015258789,227885,24816676.847724915
2024-02-13 00:00:00+00:00,108.9000015258789,152412,16597667.032562256
2024-02-14 00:00:00+00:00,108.91999816894531,457113,49788747.1230011
2024-02-15 00:00:00+00:00,108.97000122070312,455429,49628098.6859436
2024-02-16 00:00:00+00:00,108.9800033569336,158272,17248483.091308594
2024-02-19 00:00:00+00:00,108.9800033569336,45584,4967744.473022461
2024-02-20 00:00:00+00:00,109.0199966430664,147402,16069765.545181274
2024-02-21 00:00:00+00:00,109.0199966430664,361789,39442235.56549835
2024-02-22 00:00:00+00:00,109.05999755859375,300255,32745809.566955566
2024-02-23 00:00:00+00:00,109.08000183105469,275427,30043577.6643219
2024-02-26 00:00:00+00:00,109.08000183105469,116826,12743380.293914795
